1358542407.352626 - nlsr_lsdb.c, install_adj_lsa, 847 : Adj-LSA
1358542407.352701 - nlsr_lsdb.c, install_adj_lsa, 848 : Adding adj lsa
1358542407.352731 - nlsr_lsdb.c, write_log_for_adj_lsa, 997 :-----------Adj LSA Content---------------
1358542407.352762 - nlsr_lsdb.c, write_log_for_adj_lsa, 998 :	Origination Router: /ndn/memphis.edu/cs/castor
1358542407.352791 - nlsr_lsdb.c, write_log_for_adj_lsa, 999 :	Origination Router Length: 27
1358542407.352820 - nlsr_lsdb.c, write_log_for_adj_lsa, 1000 :	LS Type:	1
1358542407.352849 - nlsr_lsdb.c, write_log_for_adj_lsa, 1001 :	Origination Time: 1358542407352555
1358542407.352878 - nlsr_lsdb.c, write_log_for_adj_lsa, 1002 :	Lsa Data:
1358542407.352907 - nlsr_lsdb.c, write_log_for_adj_lsa, 1003 :		No of Link: 2
1358542407.352937 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 968 :		Link 1	 	
1358542407.352966 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 969 :		Adjacent Router: /ndn/memphis.edu/cs/maia	
1358542407.352995 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 970 :		Adjacent Router Length: 25	
1358542407.353024 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 971 :		Connecting Face: 10	
1358542407.353052 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 972 :		Metric: 10	
1358542407.353082 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 981 :		Link 2	 	
1358542407.353110 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 982 :		Adjacent Router: /ndn/memphis.edu/cs/mira	
1358542407.353139 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 983 :		Adjacent Router Length: 25	
1358542407.353168 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 984 :		Connecting Face: 8	
1358542407.353196 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 985 :		Metric: 10	
1358542407.353226 - nlsr_lsdb.c, write_log_for_adj_lsa, 1007 :
1358542407.353255 - nlsr_lsdb.c, install_adj_lsa, 850 : adj_lsa_end
1358542407.591397 - nlsr_lsdb.c, install_adj_lsa, 847 : Adj-LSA
1358542407.591484 - nlsr_lsdb.c, install_adj_lsa, 848 : Adding adj lsa
1358542407.591514 - nlsr_lsdb.c, write_log_for_adj_lsa, 997 :-----------Adj LSA Content---------------
1358542407.591544 - nlsr_lsdb.c, write_log_for_adj_lsa, 998 :	Origination Router: /ndn/memphis.edu/cs/mira
1358542407.591573 - nlsr_lsdb.c, write_log_for_adj_lsa, 999 :	Origination Router Length: 25
1358542407.591601 - nlsr_lsdb.c, write_log_for_adj_lsa, 1000 :	LS Type:	1
1358542407.591630 - nlsr_lsdb.c, write_log_for_adj_lsa, 1001 :	Origination Time: 1358542407173815
1358542407.591659 - nlsr_lsdb.c, write_log_for_adj_lsa, 1002 :	Lsa Data:
1358542407.591688 - nlsr_lsdb.c, write_log_for_adj_lsa, 1003 :		No of Link: 1
1358542407.591718 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 968 :		Link 1	 	
1358542407.591747 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 969 :		Adjacent Router: /ndn/memphis.edu/cs/castor	
1358542407.591795 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 970 :		Adjacent Router Length: 27	
1358542407.591825 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 971 :		Connecting Face: 10	
1358542407.591853 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 972 :		Metric: 10	
1358542407.591882 - nlsr_lsdb.c, write_log_for_adj_lsa, 1007 :
1358542407.591911 - nlsr_lsdb.c, install_adj_lsa, 850 : adj_lsa_end
1358542457.861128 - nlsr_lsdb.c, install_adj_lsa, 887 : Adj-LSA
1358542457.861225 - nlsr_lsdb.c, install_adj_lsa, 888 : Deleting adj lsa
1358542457.861258 - nlsr_lsdb.c, write_log_for_adj_lsa, 997 :-----------Adj LSA Content---------------
1358542457.861289 - nlsr_lsdb.c, write_log_for_adj_lsa, 998 :	Origination Router: /ndn/memphis.edu/cs/mira
1358542457.861319 - nlsr_lsdb.c, write_log_for_adj_lsa, 999 :	Origination Router Length: 25
1358542457.861349 - nlsr_lsdb.c, write_log_for_adj_lsa, 1000 :	LS Type:	1
1358542457.861379 - nlsr_lsdb.c, write_log_for_adj_lsa, 1001 :	Origination Time: 1358542407173815
1358542457.861437 - nlsr_lsdb.c, write_log_for_adj_lsa, 1002 :	Lsa Data:
1358542457.861468 - nlsr_lsdb.c, write_log_for_adj_lsa, 1003 :		No of Link: 1
1358542457.861501 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 968 :		Link 1	 	
1358542457.861532 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 969 :		Adjacent Router: /ndn/memphis.edu/cs/castor	
1358542457.861563 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 970 :		Adjacent Router Length: 27	
1358542457.861592 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 971 :		Connecting Face: 10	
1358542457.861622 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 972 :		Metric: 10	
1358542457.861652 - nlsr_lsdb.c, write_log_for_adj_lsa, 1007 :
1358542457.861682 - nlsr_lsdb.c, install_adj_lsa, 890 : adj_lsa_end
1358542457.861718 - nlsr_lsdb.c, install_adj_lsa, 904 : Adj-LSA
1358542457.861748 - nlsr_lsdb.c, install_adj_lsa, 905 : Adding adj lsa
1358542457.861778 - nlsr_lsdb.c, write_log_for_adj_lsa, 997 :-----------Adj LSA Content---------------
1358542457.861808 - nlsr_lsdb.c, write_log_for_adj_lsa, 998 :	Origination Router: /ndn/memphis.edu/cs/mira
1358542457.861838 - nlsr_lsdb.c, write_log_for_adj_lsa, 999 :	Origination Router Length: 25
1358542457.861868 - nlsr_lsdb.c, write_log_for_adj_lsa, 1000 :	LS Type:	1
1358542457.861898 - nlsr_lsdb.c, write_log_for_adj_lsa, 1001 :	Origination Time: 1358542457297426
1358542457.861928 - nlsr_lsdb.c, write_log_for_adj_lsa, 1002 :	Lsa Data:
1358542457.861957 - nlsr_lsdb.c, write_log_for_adj_lsa, 1003 :		No of Link: 2
1358542457.861989 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 968 :		Link 1	 	
1358542457.862019 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 969 :		Adjacent Router: /ndn/memphis.edu/cs/maia	
1358542457.862049 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 970 :		Adjacent Router Length: 25	
1358542457.862079 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 971 :		Connecting Face: 9	
1358542457.862108 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 972 :		Metric: 10	
1358542457.862139 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 981 :		Link 2	 	
1358542457.862168 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 982 :		Adjacent Router: /ndn/memphis.edu/cs/castor	
1358542457.862199 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 983 :		Adjacent Router Length: 27	
1358542457.862228 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 984 :		Connecting Face: 10	
1358542457.862258 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 985 :		Metric: 10	
1358542457.862288 - nlsr_lsdb.c, write_log_for_adj_lsa, 1007 :
